sp,showy_stamens,showy_sepals,tepals,inflorecence
Veronica_derwentiana,,,,maybe
Plantago_media,yes,,,yes
Plantago_lanceolata,yes,,,yes
Digitalis_purpurea,,,,
Linaria_vulgaris,,,,
Linaria_alpina,,,,
Cymbalaria_muralis,,,,
Collinsia_parviflora,,maybe,,
Ligustrum_vulgare,,,,maybe
Salvia_pratensis,,maybe,,
Richardia_grandiflora,,,,
Diodia_saponariifolia,,,,
Diodia_radula,,,,
Manettia_luteorubra,,,,
Coccocypselum_reitzii,,,,
Asclepias_curassavica,,,,
Gentianopsis_ciliata,,,,
Gentiana_bavarica,,,,
Gentiana_asclepiadea,,maybe,,
Gentiana_pannonica,,,,
Gentiana_lutea,,,,
Centaurium_erythraea,maybe,,,
Mitrasacme_polymorpha,,,,
Solanum_variabile,maybe,,,
Solanum_sisymbriifolium,maybe,,,
Solanum_rostratum,maybe,,,
Solanum_dulcamara,maybe,,,
Solanum_nigrum,maybe,,,
Solanum_tuberosum,maybe,,,
Solanum_diflorum,,,,
Cuscuta_indecora,,,,
Merremia_dissecta,,,,
Calystegia_sepium,,,,
Convolvulus_arvensis,,,,
Ipomoea_purpurea,,,,
Ipomoea_grandifolia,,,,
Ipomoea_indivisa,,,,
Goodenia_bellidifolia,,,,
Dampiera_stricta,,,,
Nymphoides_indica,,,,
Villarsia_reniformis,,,,
Campanula_rotundifolia,,,,
Campanula_rapunculoides,,,,
Campanula_trachelium,,,,
Legousia_speculum-veneris,,,,
Siphocampylus_verticillatus,,,,
Escallonia_bifida,maybe,,,yes
Sambucus_nigra,,,,yes
Billardiera_mutabilis,,,,
Primula_farinosa,,,,maybe
Primula_auricula,,,,
Soldanella_alpina,maybe,maybe,,
Anagallis_arvensis,maybe,,,
Lysimachia_europaea,,,,
Lysimachia_vulgaris,maybe,,,
Lysimachia_arvensis,maybe,,,
Samolus_repens,,,,
Ipomopsis_aggregata,maybe,,,
Dodecatheon_meadia,maybe,,,
Erica_carnea,yes,,,
Calluna_vulgaris,,,,
Rhododendron_hirsutum,,,,
Gaylussacia_brasiliensis,,maybe,,
Epacris_longiflora,,,,
Epacris_obtusifolia,,,,
Epacris_microphylla,,,,
Epacris_glacialis,,,,
Epacris_reclinata,,,,
Dracophyllum_secundum,,,,
Richea_continentis,maybe,,,
Sprengelia_incarnata,,yes,,
Sprengelia_monticola,,,,
Impatiens_parviflora,,maybe,,
Cornus_sanguinea,,,,yes
Montia_australasica,,,,
Chenopodium_album,,,,
Lychnis_flos-cuculi,,maybe,,
Dianthus_carthusianorum,maybe,maybe,,
Stellaria_nemorum,,,,
Gypsophila_muralis,,,,
Minuartia_austriaca,,,,
Drosera_arcturi,,,,
Hibbertia_dentata,maybe,,,
Hibbertia_scandens,maybe,,,
Hibbertia_obtusifolia,maybe,,,
Conospermum_tenuifolium,,,yes,
Symphionema_paludosum,maybe,,yes,
Ranunculus_pimpinellifolius,maybe,,,
Ranunculus_graniticola,maybe,,,
Ranunculus_niphophilus,maybe,,,
Ranunculus_bulbosus,maybe,,,
Delphinium_barbeyi,,yes,,
Commelina_cyanea,,,yes,
Tradescantia_crassula,,,,
Tripogandra_diuretica,,,,
Eichhornia_azurea,,,yes,
Pontederia_lanceolata,,,yes,
Canna_confusa,yes,,,
Xyris_operculata,,,,
Hypoxis_decumbens,,,,
Sisyrinchium_campestre,,,yes,
Sisyrinchium_platense,,,yes,
Sisyrinchium_laxum,,,yes,
Sisyrinchium_megapotamicum,,,yes,
Libertia_pulchella,,,yes,
Romulea_rosea,,,yes,
Habenaria_pleiophylla,,,,
Epidendrum_fulgens,,yes,,
Sagittaria_montevidensis,maybe,,,
Nectandra_oppositifolia,,,yes,
Nymphaea_alba,yes,,yes,
