"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.84756218079953,0.0703223362138214,-12.0525316198603,0.0000000000000000000000000012711954371456
"log10(tot - sep)",0.876666745664341,0.0279422146235109,31.3742757142344,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017459440924279
