"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.880325428333337,0.0742477723107703,-11.8565904529588,0.00000000000000000000000000633380979046627
"log10(tot - and)",0.966326225697505,0.030106892800521,32.0965113238382,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000843204746804059
