"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.261738096892595,0.0828156133579421,-3.16049216180193,0.00173322579333321
"log10(tot - pet)",0.967586408796584,0.0315007174332462,30.716329266056,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000238040803323109
