"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.937619964241742,0.0581897251949217,-16.1131533290618,0.00000000000000000000000000000000000000000109088433786919
"log10(tot)",0.941721147767115,0.0243509562212232,38.6728611070456,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127175592464014
