"","Estimate","StdErr","t.value","lowerbootCI","upperbootCI","p.value"
"(Intercept)",-0.147919757373496,0.207415001540564,-0.7131584324896,-0.558790527036746,0.240371863764068,0.476293011353134
"log10(tot)",1.13309472167149,0.0268818311883982,42.1509499754808,1.08141241983859,1.18558128306119,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309364327969766
