"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.989877649752875,0.0728512107530745,-13.5876622985446,0.00000000000000000000000000000000331514020992731
"log10(tot - gyn)",0.883012758742212,0.0293403214494021,30.0955379873729,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000258446340083737
