level,clade_removed,fit,model,n,R2,int,int.se,int.lo,int.hi,slo,slo.se,slo.lo,slo.hi,p_b1
family,Fabaceae,Male ~ Flower,SMA,281,0.8271214993855855,-0.625652753763132,NA,-0.7563053611189271,-0.4950001464073369,1.1096251503624561,NA,1.0565838216851389,1.1653291949456144,3.803065229934788e-5
family,Fabaceae,Female ~ Flower,SMA,281,0.8269031545320742,-0.7054677398881171,NA,-0.827532028453187,-0.5834034513230472,1.0360289028454013,NA,0.9864750777410123,1.0880719764243687,0.15634168864446762
family,Fabaceae,Petals ~ Flower,SMA,281,0.8928342793209872,-0.18815957022704266,NA,-0.2907483634089487,-0.08557077704513658,1.1072762128899594,NA,1.0653812599160564,1.1508186390743667,3.70283959827411e-7
family,Fabaceae,Sepals ~ Flower,SMA,281,0.8398794527696608,-0.6024733232388537,NA,-0.7190550997340013,-0.4858915467437061,1.0289325341328266,NA,0.981553377808875,1.078598661807211,0.23476904085201378
family,Lamiaceae,Male ~ Flower,SMA,285,0.8324392946109642,-0.6360954388213873,NA,-0.7614316714298162,-0.5107592062129584,1.1029990816269375,NA,1.0514339206949388,1.157093137403974,7.023591310073574e-5
family,Lamiaceae,Female ~ Flower,SMA,285,0.8251369191336296,-0.7192535155153927,NA,-0.8392759406794387,-0.5992310903513468,1.0338713233188366,NA,0.9845219866328069,1.0856943041331,0.18122156338797168
family,Lamiaceae,Petals ~ Flower,SMA,285,0.8945179001695645,-0.1879676922494431,NA,-0.28772983732390234,-0.08820554717498387,1.1071796867664698,NA,1.0659039095057874,1.1500538161612235,2.5413206716784487e-7
family,Lamiaceae,Sepals ~ Flower,SMA,285,0.8498330082659311,-0.5964444068153858,NA,-0.707986651691637,-0.4849021619391346,1.0370760406788664,NA,0.9911181712526641,1.0851649635187361,0.11504986897049707
family,Ericaceae,Male ~ Flower,SMA,294,0.8401573966264477,-0.6308219121350143,NA,-0.7524971809217426,-0.509146643348286,1.1058078456590013,NA,1.0560598247175002,1.1578993565521802,2.2726274763629206e-5
family,Ericaceae,Female ~ Flower,SMA,294,0.8313300770013964,-0.7293269781910627,NA,-0.846221727958308,-0.6124322284238175,1.03409862001121,NA,0.9863399514774442,1.084169767540378,0.16396449007134684
family,Ericaceae,Petals ~ Flower,SMA,294,0.8978380033846958,-0.1963910533881683,NA,-0.2931567381137314,-0.09962536866260525,1.1006229845565185,NA,1.0608509250203204,1.1418861270360814,5.197957140268272e-7
family,Ericaceae,Sepals ~ Flower,SMA,294,0.8583832178274527,-0.6034397270696634,NA,-0.710120809951537,-0.4967586441877898,1.0302215481334298,NA,0.9865360095423631,1.0758415587189623,0.177364980641604
family,Brassicaceae,Male ~ Flower,SMA,296,0.8424355231818939,-0.5928071190090494,NA,-0.714513059262471,-0.47110117875562774,1.1303828577735109,NA,1.0800538957294232,1.1830570772445204,2.196006780863513e-7
family,Brassicaceae,Female ~ Flower,SMA,296,0.8240496523274974,-0.705680522767925,NA,-0.8242791126706097,-0.5870819328652404,1.0422048033035394,NA,0.9932339608904407,1.093590125588529,0.09203576754625153
family,Brassicaceae,Petals ~ Flower,SMA,296,0.8900120410028306,-0.2002306671529568,NA,-0.29892768211485565,-0.10153365219105792,1.097639450534267,NA,1.0566515543143737,1.1402172820830518,2.267256132060247e-6
family,Brassicaceae,Sepals ~ Flower,SMA,296,0.8392813292881292,-0.6045535357244565,NA,-0.716499260686857,-0.49260781076205595,1.0294485576471528,NA,0.983167807898591,1.077907885437104,0.21540940272134035
family,Malvaceae,Male ~ Flower,SMA,296,0.8305850544786221,-0.6251887230364526,NA,-0.7514880253481747,-0.4988894207247304,1.109369182767623,NA,1.0581960692074808,1.1630169677309585,2.0343318303694957e-5
family,Malvaceae,Female ~ Flower,SMA,296,0.8261958945265653,-0.67625180440267,NA,-0.7975880128018209,-0.554915596003519,1.0521898587798184,NA,1.0030448988664633,1.103742713980428,0.037182677838875744
family,Malvaceae,Petals ~ Flower,SMA,296,0.8935924018554321,-0.17915422276187298,NA,-0.2787554782406475,-0.07955296728309849,1.1045072146248809,NA,1.0639268132657813,1.1466354376517236,3.1707136249892187e-7
family,Malvaceae,Sepals ~ Flower,SMA,296,0.8437093049898675,-0.6400774749636668,NA,-0.7513491032381352,-0.5288058466891985,1.017700749381198,NA,0.9725680976893009,1.0649278109695142,0.44724529592508566
family,Fabaceae,Male ~ Flower,phySMA,281,0.816840119441339,-0.5452122457297746,NA,NA,NA,1.1256422620695776,NA,NA,NA,6.887184027907461e-6
family,Fabaceae,Female ~ Flower,phySMA,281,0.8246047336313982,-0.8300498147376651,NA,NA,NA,0.9854014858973041,NA,NA,NA,0.5581813469389683
family,Fabaceae,Petals ~ Flower,phySMA,281,0.8489426706420445,0.09475765149734405,NA,NA,NA,1.2496939282441744,NA,NA,NA,4.2407605573240035e-18
family,Fabaceae,Sepals ~ Flower,phySMA,281,0.7325502717687451,-0.7850153610205846,NA,NA,NA,0.9584619368668117,NA,NA,NA,0.17209150140647228
family,Lamiaceae,Male ~ Flower,phySMA,285,0.8269980393902853,-0.5477145138614175,NA,NA,NA,1.1232528531225818,NA,NA,NA,4.786180736933428e-6
family,Lamiaceae,Female ~ Flower,phySMA,285,0.8246134853703865,-0.8187813263798494,NA,NA,NA,0.9924838312406229,NA,NA,NA,0.7621552824998375
family,Lamiaceae,Petals ~ Flower,phySMA,285,0.8497934122704874,0.061885228762617484,NA,NA,NA,1.234618865427337,NA,NA,NA,6.635329728526272e-17
