Flower component,Mean (%),sd,min,max
and.p,15.823773804834001,9.80652682409711,1.3311148086522464,66.49616368286443
gyn.p,18.61618724908775,11.120254248761878,2.3155627355950457,73.87518142235123
pet.p,41.28698874443643,15.776074657024324,1.8142235123367199,81.86356073211314
sep.p,24.273052386008512,12.005754635592323,2.0157756354075373,69.84126984126985
